Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2009,San Bernardino,District,30162395.0,31784082.0,-1621687.0,-34.89
2009,Napa,State,412514578.0,412514578.0,0.0,-167.54
2009,Monterey,City/County,583229393.0,575337857.0,7891536.0,0.24
2009,Napa,State,120419518.0,120419518.0,0.0,-76.69
2009,Orange,Investor,18492658.0,18492719.0,-61.0,0.0
2009,Orange,Investor,147045655.0,156633737.0,-9588082.0,-79.13
2009,Solano,Non-Profit,1008068421.0,1012354118.0,-4285697.0,-6.49
2009,Sutter,Investor,3336411.0,3384699.0,-48288.0,-1.45
2009,Shasta,Investor,55301957.0,49695133.0,5606824.0,17.17
2009,Inyo,District,84001873.0,78950837.0,5051036.0,6.73
2009,Los Angeles,Non-Profit,1446088532.0,1412511840.0,33576692.0,9.49
2009,Marin,Non-Profit,227847078.0,228783793.0,-936715.0,0.59
2009,Stanislaus,District,176030101.0,172251247.0,3778854.0,2.73
2009,Riverside,Investor,4348048.0,3878551.0,469497.0,-7.08
2009,Santa Clara,Non-Profit,1685962187.0,266248506.0,-9864619.0,-0.71
2009,Ventura,Non-Profit,95902072.0,96301755.0,-399683.0,-6.52
2009,Los Angeles,Investor,994627630.0,986737350.0,7890280.0,8.73
2009,Orange,Non-Profit,767473236.0,753794102.0,13679134.0,5.82
2009,Butte,Non-Profit,468809468.0,462941869.0,5867599.0,4.49
2009,Los Angeles,Investor,201999923.0,185380725.0,16619198.0,-3.13
2009,Los Angeles,Investor,479899943.0,480613997.0,-714054.0,-4.81
2009,Ventura,Investor,15924335.0,11200800.0,4723535.0,40.58
2009,Los Angeles,Investor,188455950.0,194870108.0,-6414158.0,-11.4
2009,Sonoma,District,75488248.0,75662261.0,-174013.0,-18.27
2009,Riverside,District,74798104.0,74894355.0,-96251.0,0.85
2009,San Diego,District,1177795119.0,1157894994.0,19900125.0,3.01
2009,San Diego,Investor,473059337.0,468757905.0,4301432.0,4.64
2009,Riverside,Non-Profit,488420271.0,488719001.0,-298730.0,-1.54
2009,Shasta,Investor,26678740.0,27042678.0,-363938.0,-6.76
2009,San Bernardino,State,574264696.0,574264696.0,0.0,-282.86
2009,San Mateo,Non-Profit,1527966026.0,1483995859.0,43970167.0,5.42
2009,Sonoma,Non-Profit,314411200.0,318010175.0,-3598975.0,-6.09
2009,Imperial,District,251870957.0,248775196.0,3095761.0,-0.09
2009,Orange,Investor,345294898.0,337426097.0,7868801.0,11.93
2009,Plumas,District,38306683.0,37706004.0,600679.0,-0.29
2009,San Diego,District,442273775.0,438082905.0,4190870.0,0.87
2009,Los Angeles,Non-Profit,2114690774.0,2119198303.0,-4507529.0,-0.58
2009,Tulare,State,179997576.0,179997576.0,0.0,-8.41
2009,Los Angeles,Non-Profit,1897294807.0,1866585806.0,30709001.0,9.17
2009,Los Angeles,Investor,297187300.0,311672116.0,-14484816.0,-20.1
2009,San Diego,Investor,133638729.0,135447661.0,-1808932.0,-4.24
2009,Los Angeles,Non-Profit,1699600911.0,1671966415.0,27634496.0,11.55
2009,Los Angeles,Non-Profit,743830768.0,740341179.0,3489589.0,4.49
2009,Los Angeles,Non-Profit,1517604575.0,1507270979.0,10333596.0,2.6
2009,Los Angeles,Non-Profit,2072752921.0,2080500608.0,-7747687.0,0.89
2009,Napa,Non-Profit,954912747.0,960077023.0,-5164276.0,3.16
2009,San Diego,Non-Profit,1213560047.0,1270016010.0,-56455963.0,9.44
2009,San Bernardino,Investor,187460846.0,185219609.0,2241237.0,8.04
2009,San Bernardino,Non-Profit,763654691.0,762173593.0,1481098.0,0.21
2009,Humboldt,Non-Profit,126358536.0,125436023.0,922513.0,11.55
2009,Santa Clara,Investor,1684195147.0,1689138374.0,-4943227.0,-1.78
2009,Los Angeles,Non-Profit,82293970.0,79880730.0,2413240.0,2.36
2009,Yuba,Non-Profit,667007138.0,677922762.0,-10915624.0,-1.29
2009,Kern,Non-Profit,128403783.0,125039629.0,3364154.0,5.76
2009,Riverside,Investor,13684354.0,14193942.0,-509588.0,-6.86
2009,Riverside,Investor,1725102519.0,1651524080.0,73578439.0,14.46
2009,Riverside,City/County,1412746933.0,1395576634.0,17170299.0,-12.54
2009,Los Angeles,Non-Profit,3299041756.0,3199905036.0,99136720.0,8.38
2009,Orange,Investor,7807466.0,6902580.0,904886.0,11.59
2009,Sacramento,City/County,39388996.0,39388996.0,0.0,0.0
2009,Orange,Non-Profit,1286528467.0,1259311763.0,27216704.0,6.7
2009,Monterey,District,885020952.0,870594016.0,14426936.0,0.52
2009,San Bernardino,Non-Profit,1097181512.0,1076306293.0,20875219.0,0.96
2009,San Diego,City/County,76152480.0,76152480.0,0.0,-76.94
2009,San Diego,Non-Profit,7127405.0,9388061.0,-2260656.0,-75.45
2009,Los Angeles,Investor,306024100.0,295646005.0,10378095.0,15.38
2009,San Francisco,City/County,1441768814.0,1512667840.0,-70899026.0,-17.13
2009,Los Angeles,Investor,622285947.0,619490623.0,2795324.0,2.34
2009,Riverside,District,139482860.0,138848034.0,634826.0,-20.94
2009,Kern,Non-Profit,1096368810.0,1077755301.0,18613509.0,7.88
2009,San Joaquin,City/County,7380974.0,7380974.0,0.0,0.0
2009,San Joaquin,City/County,419001708.0,424690812.0,-5689104.0,-14.38
2009,Fresno,Investor,41131270.0,37855133.0,3276137.0,11.5
2009,San Luis Obispo,City/County,4285121.0,4285121.0,0.0,-335.67
2009,San Mateo,City/County,370284651.0,353871427.0,16413224.0,4.91
2009,Contra Costa,Investor,640658745.0,629460418.0,11198327.0,8.06
2009,Santa Barbara,Non-Profit,1301488072.0,1195322669.0,106165403.0,10.48
2009,Santa Barbara,City/County,7761791.0,7761791.0,0.0,-99.57
2009,Santa Clara,City/County,2626067015.0,2674673631.0,-48606616.0,-26.73
2009,Los Angeles,Non-Profit,1041056821.0,1027892735.0,13164086.0,5.67
2009,Sonoma,Non-Profit,1425074191.0,1419303545.0,5770646.0,4.09
2009,Santa Barbara,Non-Profit,32070309.0,29481871.0,2588438.0,3.24
2009,San Diego,Non-Profit,1002175592.0,938618100.0,63557492.0,19.98
2009,San Diego,Non-Profit,576530846.0,556607903.0,19922943.0,10.14
2009,San Diego,Non-Profit,1452139937.0,1386816606.0,65323331.0,14.3
2009,San Diego,Non-Profit,1906689171.0,1896572641.0,10116530.0,1.95
2009,Humboldt,City/County,4182998.0,4598317.0,-415319.0,-9.83
2009,Plumas,District,21342842.0,21024859.0,317983.0,-3.62
2009,San Mateo,Non-Profit,961351767.0,951675977.0,9675790.0,8.69
